,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
572,Above the Break 3,Right Side Center(RC),25,205,153,0
573,Above the Break 3,Left Side Center(LC),26,-138,230,0
574,Backcourt,Back Court(BC),67,193,647,0
575,Above the Break 3,Left Side Center(LC),30,-164,253,1
576,Restricted Area,Center(C),1,4,12,0
577,Above the Break 3,Left Side Center(LC),28,-180,226,0
578,Above the Break 3,Left Side Center(LC),24,-207,129,1
579,Restricted Area,Center(C),3,-30,3,1
580,Mid-Range,Right Side Center(RC),19,60,184,0
581,Restricted Area,Center(C),2,18,17,1
582,Above the Break 3,Center(C),25,76,239,0
583,Above the Break 3,Right Side Center(RC),28,89,268,0
584,Mid-Range,Right Side Center(RC),17,104,140,1
585,Above the Break 3,Center(C),25,14,253,0
586,Mid-Range,Right Side(R),15,154,3,0
587,Above the Break 3,Left Side Center(LC),38,-216,315,1
588,Above the Break 3,Right Side Center(RC),25,102,239,0
589,Restricted Area,Center(C),2,-20,17,1
590,Restricted Area,Center(C),3,29,27,0
591,Above the Break 3,Center(C),28,-1,283,0
592,Above the Break 3,Center(C),26,5,268,0
593,Above the Break 3,Left Side Center(LC),27,-146,231,0
594,Restricted Area,Center(C),1,-5,13,1
595,In The Paint (Non-RA),Center(C),9,39,84,0
596,Above the Break 3,Left Side Center(LC),25,-107,227,0
597,Above the Break 3,Center(C),25,-75,241,0
598,Above the Break 3,Center(C),28,-62,283,1
599,Restricted Area,Center(C),2,2,20,0
600,Mid-Range,Right Side Center(RC),18,142,125,0
601,Right Corner 3,Right Side(R),22,226,-15,0
602,Restricted Area,Center(C),1,15,7,1
603,Above the Break 3,Right Side Center(RC),25,144,216,0
604,Restricted Area,Center(C),1,11,4,0
605,Restricted Area,Center(C),1,9,8,1
606,Above the Break 3,Center(C),33,42,332,0
607,Above the Break 3,Right Side Center(RC),25,124,222,1
608,Restricted Area,Center(C),1,6,13,0
609,Left Corner 3,Left Side(L),22,-229,16,0
610,Mid-Range,Left Side Center(LC),21,-152,148,0
611,Above the Break 3,Left Side Center(LC),33,-193,274,0
612,Above the Break 3,Left Side Center(LC),34,-177,295,1
613,Above the Break 3,Left Side Center(LC),35,-190,298,0
614,Above the Break 3,Left Side Center(LC),25,-154,205,0
615,Above the Break 3,Right Side Center(RC),25,189,170,1
616,Above the Break 3,Right Side Center(RC),32,130,293,1
617,Above the Break 3,Right Side Center(RC),28,193,204,0
618,Mid-Range,Left Side Center(LC),17,-141,104,0
619,In The Paint (Non-RA),Center(C),8,-4,82,1
620,Restricted Area,Center(C),2,-19,20,1
621,Above the Break 3,Center(C),26,18,260,0
622,Above the Break 3,Left Side Center(LC),26,-145,219,1
623,Restricted Area,Center(C),2,-14,22,1
624,Above the Break 3,Right Side Center(RC),27,150,230,0
625,Restricted Area,Center(C),2,21,16,1
626,Above the Break 3,Right Side Center(RC),27,177,209,0
627,Above the Break 3,Left Side Center(LC),26,-90,252,1
628,Restricted Area,Center(C),2,22,18,1
629,Above the Break 3,Right Side Center(RC),29,96,275,1
630,Above the Break 3,Center(C),26,36,260,0
631,Left Corner 3,Left Side(L),24,-237,60,0
632,Above the Break 3,Right Side Center(RC),28,87,267,1
633,Above the Break 3,Left Side Center(LC),29,-182,227,0
634,Above the Break 3,Left Side Center(LC),26,-177,191,1
635,Above the Break 3,Right Side Center(RC),26,210,159,1
636,Above the Break 3,Left Side Center(LC),26,-197,175,0
637,In The Paint (Non-RA),Center(C),5,4,50,0
638,Restricted Area,Center(C),3,2,38,0
639,Above the Break 3,Left Side Center(LC),30,-197,227,0
640,Above the Break 3,Left Side Center(LC),25,-182,173,1
641,Above the Break 3,Right Side Center(RC),27,103,252,1
642,Restricted Area,Center(C),2,-2,20,0
643,Right Corner 3,Right Side(R),23,230,45,1
644,Above the Break 3,Right Side Center(RC),24,201,148,0
645,Above the Break 3,Center(C),27,35,276,0
646,Above the Break 3,Right Side Center(RC),24,193,147,1
647,Above the Break 3,Left Side Center(LC),25,-149,206,1
648,Above the Break 3,Right Side Center(RC),25,195,162,1
649,Above the Break 3,Right Side Center(RC),24,180,162,0
650,Above the Break 3,Right Side Center(RC),25,180,180,0
651,Above the Break 3,Right Side Center(RC),25,208,141,0
652,Left Corner 3,Left Side(L),23,-232,-1,0
653,Restricted Area,Center(C),2,23,16,0
654,Above the Break 3,Right Side Center(RC),27,160,225,0
655,Above the Break 3,Right Side Center(RC),26,127,228,1
656,Above the Break 3,Left Side Center(LC),25,-182,179,0
657,Above the Break 3,Right Side Center(RC),26,185,188,1
658,Restricted Area,Center(C),0,-2,4,1
659,Above the Break 3,Center(C),25,-52,252,0
660,Above the Break 3,Center(C),25,47,254,0
661,Left Corner 3,Left Side(L),22,-223,-3,1
662,Above the Break 3,Left Side Center(LC),28,-204,197,0
663,Restricted Area,Center(C),2,15,22,1
664,Above the Break 3,Center(C),26,4,263,0
665,Restricted Area,Center(C),3,32,12,1
666,Above the Break 3,Right Side Center(RC),25,143,214,1
667,Above the Break 3,Center(C),27,3,278,0
668,In The Paint (Non-RA),Center(C),7,65,28,0
669,Restricted Area,Center(C),2,25,4,1
670,Above the Break 3,Right Side Center(RC),29,176,237,0
671,Above the Break 3,Center(C),26,-24,262,0
672,In The Paint (Non-RA),Center(C),4,41,6,0
673,Above the Break 3,Left Side Center(LC),30,-179,241,0
674,Above the Break 3,Right Side Center(RC),25,137,213,0
675,In The Paint (Non-RA),Center(C),4,-3,45,0
676,Above the Break 3,Left Side Center(LC),25,-221,125,0
677,Left Corner 3,Left Side(L),22,-223,19,0
678,Restricted Area,Center(C),2,-29,-7,1
679,In The Paint (Non-RA),Center(C),10,45,99,1
680,Above the Break 3,Left Side Center(LC),27,-133,235,1
681,In The Paint (Non-RA),Center(C),4,43,25,0
682,Restricted Area,Center(C),2,23,9,1
683,In The Paint (Non-RA),Center(C),11,22,109,0
684,In The Paint (Non-RA),Center(C),6,61,6,1
685,In The Paint (Non-RA),Center(C),5,46,24,1
686,Above the Break 3,Left Side Center(LC),28,-140,245,1
687,Above the Break 3,Center(C),26,-18,269,1
688,In The Paint (Non-RA),Left Side(L),11,-63,95,0
689,Above the Break 3,Center(C),29,19,290,1
690,Left Corner 3,Left Side(L),23,-230,5,0
691,In The Paint (Non-RA),Center(C),4,29,34,0
692,Above the Break 3,Right Side Center(RC),27,195,193,1
693,Mid-Range,Right Side(R),10,106,26,0
694,Mid-Range,Right Side(R),10,101,35,0
695,Restricted Area,Center(C),1,-6,17,0
696,Above the Break 3,Center(C),30,3,305,0
697,In The Paint (Non-RA),Center(C),4,-20,38,0
698,Mid-Range,Left Side Center(LC),17,-66,162,1
699,Above the Break 3,Center(C),29,76,284,0
700,Above the Break 3,Right Side Center(RC),27,112,251,0
701,Above the Break 3,Right Side Center(RC),26,200,179,0
702,Above the Break 3,Left Side Center(LC),25,-166,188,0
703,Mid-Range,Center(C),20,-2,204,1
704,Above the Break 3,Center(C),25,-66,248,1
705,Restricted Area,Center(C),1,11,10,0
706,Above the Break 3,Center(C),27,26,274,0
707,Above the Break 3,Left Side Center(LC),25,-136,217,1
708,Above the Break 3,Center(C),25,-44,253,0
709,Above the Break 3,Left Side Center(LC),25,-108,230,0
710,Above the Break 3,Left Side Center(LC),25,-107,226,0
711,Restricted Area,Center(C),0,9,-4,1
712,Mid-Range,Center(C),16,13,166,0
713,Above the Break 3,Left Side Center(LC),25,-176,179,0
714,Restricted Area,Center(C),1,14,11,0
715,Above the Break 3,Left Side Center(LC),25,-127,226,0
716,Above the Break 3,Right Side Center(RC),28,180,226,1
717,Mid-Range,Left Side Center(LC),20,-82,191,0
718,Restricted Area,Center(C),1,1,-10,0
719,Above the Break 3,Right Side Center(RC),26,163,214,0
720,Restricted Area,Center(C),2,25,4,1
721,Above the Break 3,Right Side Center(RC),25,215,130,0
722,In The Paint (Non-RA),Center(C),6,57,30,0
723,Above the Break 3,Right Side Center(RC),24,206,138,1
724,Above the Break 3,Left Side Center(LC),28,-138,245,0
725,Above the Break 3,Right Side Center(RC),25,207,146,0
726,Above the Break 3,Center(C),25,-71,246,0
727,Restricted Area,Center(C),2,13,21,1
728,In The Paint (Non-RA),Center(C),4,-14,45,0
729,Above the Break 3,Left Side Center(LC),25,-103,231,0
730,Restricted Area,Center(C),3,14,27,0
731,Above the Break 3,Left Side Center(LC),28,-98,263,0
732,Above the Break 3,Right Side Center(RC),28,134,257,0
733,Right Corner 3,Right Side(R),23,234,16,0
734,Restricted Area,Center(C),0,9,4,1
735,Mid-Range,Left Side(L),13,-99,97,1
736,Above the Break 3,Center(C),28,25,285,0
737,In The Paint (Non-RA),Center(C),4,-41,23,0
738,Above the Break 3,Left Side Center(LC),26,-182,196,0
739,Above the Break 3,Center(C),26,-52,256,1
740,In The Paint (Non-RA),Center(C),5,49,18,0
741,Above the Break 3,Right Side Center(RC),25,195,159,1
742,Above the Break 3,Left Side Center(LC),24,-215,115,1
743,Above the Break 3,Right Side Center(RC),27,121,245,1
744,Above the Break 3,Left Side Center(LC),25,-204,161,1
745,In The Paint (Non-RA),Center(C),5,-53,13,0
746,Above the Break 3,Right Side Center(RC),25,142,206,0
747,Left Corner 3,Left Side(L),22,-228,-1,0
748,Above the Break 3,Center(C),27,52,272,0
749,Above the Break 3,Right Side Center(RC),29,191,224,1
750,Restricted Area,Center(C),0,5,6,1
751,Above the Break 3,Center(C),26,-26,266,0
752,Above the Break 3,Right Side Center(RC),24,226,106,0
753,Restricted Area,Center(C),2,-14,17,0
754,Above the Break 3,Left Side Center(LC),24,-143,205,0
755,Restricted Area,Center(C),1,-10,-2,1
756,Restricted Area,Center(C),1,-13,3,1
757,Restricted Area,Center(C),2,-27,6,0
758,Above the Break 3,Right Side Center(RC),26,163,215,1
759,Above the Break 3,Right Side Center(RC),27,155,230,1
760,Above the Break 3,Right Side Center(RC),27,170,220,0
761,Restricted Area,Center(C),0,9,-1,1
762,Restricted Area,Center(C),0,6,-1,1
763,Restricted Area,Center(C),2,-13,17,0
764,Above the Break 3,Right Side Center(RC),24,204,144,1
765,Restricted Area,Center(C),2,-17,11,0
766,Mid-Range,Right Side Center(RC),19,127,151,0
767,Above the Break 3,Right Side Center(RC),26,174,194,1
768,Above the Break 3,Right Side Center(RC),26,107,237,0
769,Restricted Area,Center(C),3,30,13,0
770,Above the Break 3,Center(C),26,65,258,0
771,Restricted Area,Center(C),3,-23,26,1
772,Restricted Area,Center(C),3,-30,15,1
773,Above the Break 3,Left Side Center(LC),25,-138,217,0
774,Right Corner 3,Right Side(R),23,234,-6,1
775,Right Corner 3,Right Side(R),23,236,25,0
776,Mid-Range,Left Side Center(LC),16,-114,117,0
777,Right Corner 3,Right Side(R),23,232,-29,0
778,Restricted Area,Center(C),3,32,22,0
779,Above the Break 3,Right Side Center(RC),27,187,196,0
780,Right Corner 3,Right Side(R),24,241,54,0
781,Above the Break 3,Center(C),25,55,249,0
782,Mid-Range,Right Side(R),17,149,85,0
783,Restricted Area,Center(C),2,25,6,0
784,Above the Break 3,Left Side Center(LC),28,-126,251,0
785,Above the Break 3,Left Side Center(LC),25,-185,175,1
786,Mid-Range,Center(C),15,-63,142,1
787,Above the Break 3,Right Side Center(RC),25,81,239,0
788,Above the Break 3,Center(C),28,17,284,0
789,Mid-Range,Right Side(R),20,207,6,0
790,Above the Break 3,Right Side Center(RC),30,139,267,0
791,Above the Break 3,Right Side Center(RC),26,203,166,1
792,Restricted Area,Center(C),2,-25,15,0
793,Above the Break 3,Left Side Center(LC),25,-119,231,1
794,Above the Break 3,Right Side Center(RC),25,193,163,0
795,Above the Break 3,Right Side Center(RC),38,159,352,0
796,Mid-Range,Center(C),18,-27,180,1
797,In The Paint (Non-RA),Center(C),13,2,132,1
798,In The Paint (Non-RA),Center(C),12,-31,116,1
799,Above the Break 3,Right Side Center(RC),25,143,210,0
800,Above the Break 3,Right Side Center(RC),25,136,216,1
801,Right Corner 3,Right Side(R),23,230,-5,0
802,Above the Break 3,Center(C),24,-59,240,0
803,Above the Break 3,Right Side Center(RC),24,219,116,0
804,Above the Break 3,Center(C),24,61,235,1
805,Above the Break 3,Left Side Center(LC),24,-184,167,1
806,Mid-Range,Right Side(R),20,183,90,1
807,Mid-Range,Left Side Center(LC),20,-132,151,0
808,Above the Break 3,Right Side Center(RC),24,195,149,0
809,In The Paint (Non-RA),Left Side(L),12,-72,105,0
810,Above the Break 3,Right Side Center(RC),25,112,232,0
811,Restricted Area,Center(C),2,-22,12,1
812,In The Paint (Non-RA),Center(C),5,-25,54,1
813,In The Paint (Non-RA),Center(C),9,-2,99,0
814,Mid-Range,Right Side(R),14,117,79,0
815,In The Paint (Non-RA),Center(C),13,-62,116,0
816,Above the Break 3,Left Side Center(LC),26,-176,201,1
817,Mid-Range,Left Side Center(LC),20,-147,147,0
818,In The Paint (Non-RA),Center(C),8,19,86,0
819,Mid-Range,Left Side Center(LC),21,-109,184,1
820,Above the Break 3,Left Side Center(LC),31,-149,275,0
821,Above the Break 3,Center(C),27,-82,262,0
822,Above the Break 3,Center(C),25,12,257,1
823,Above the Break 3,Right Side Center(RC),27,174,215,1
824,Mid-Range,Center(C),18,-55,172,0
825,Mid-Range,Right Side Center(RC),18,107,145,1
826,In The Paint (Non-RA),Center(C),10,-3,103,1
827,Restricted Area,Center(C),3,29,26,0
828,Above the Break 3,Left Side Center(LC),27,-178,208,0
829,Restricted Area,Center(C),1,13,8,1
830,Restricted Area,Center(C),1,-4,16,0
831,Right Corner 3,Right Side(R),22,229,-6,1
832,Above the Break 3,Left Side Center(LC),28,-134,254,0
833,Right Corner 3,Right Side(R),22,226,41,0
834,Above the Break 3,Center(C),29,-14,298,1
835,Restricted Area,Center(C),2,-22,10,1
836,In The Paint (Non-RA),Right Side(R),10,55,92,0
837,Above the Break 3,Left Side Center(LC),25,-89,237,1
838,Right Corner 3,Right Side(R),23,236,-5,0
839,Above the Break 3,Center(C),25,-41,256,0
840,Restricted Area,Center(C),1,-17,7,1
841,Above the Break 3,Left Side Center(LC),25,-201,159,0
842,Above the Break 3,Right Side Center(RC),27,145,237,0
843,Above the Break 3,Center(C),26,-68,252,0
844,Restricted Area,Center(C),1,19,4,0
845,Above the Break 3,Right Side Center(RC),25,233,96,1
846,In The Paint (Non-RA),Center(C),6,38,58,0
847,Above the Break 3,Right Side Center(RC),25,220,128,0
848,Above the Break 3,Right Side Center(RC),25,221,118,1
849,Mid-Range,Left Side Center(LC),20,-99,176,0
850,Above the Break 3,Right Side Center(RC),24,201,146,0
851,In The Paint (Non-RA),Center(C),10,32,96,1
852,Restricted Area,Center(C),2,-29,7,1
853,Above the Break 3,Right Side Center(RC),27,187,195,0
854,Mid-Range,Left Side(L),18,-183,-11,0
855,In The Paint (Non-RA),Center(C),5,28,50,0
856,Mid-Range,Center(C),15,-38,155,0
857,In The Paint (Non-RA),Center(C),10,29,105,0
858,Above the Break 3,Left Side Center(LC),24,-195,156,0
859,Restricted Area,Center(C),2,24,8,0
860,Above the Break 3,Center(C),28,1,282,1
861,Mid-Range,Left Side(L),9,-92,16,1
862,Restricted Area,Center(C),3,-36,17,0
863,Above the Break 3,Left Side Center(LC),26,-196,180,1
864,Left Corner 3,Left Side(L),23,-234,12,0
865,Left Corner 3,Left Side(L),22,-223,-22,0
866,Restricted Area,Center(C),1,-9,9,0
867,Above the Break 3,Left Side Center(LC),25,-222,117,0
868,Left Corner 3,Left Side(L),23,-222,78,0
869,In The Paint (Non-RA),Center(C),4,22,40,0
